time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
7.8859999999993535,53.52097037221464,3066.5257177726216,0.0,0.0,0.0,0.0,0.1203632880355985,0.1271688982847811,0.0,0.0,0.15000000000000016,0.12600000000000014,0.0,0.0,0.21007292268155772,0.1880729226815577,0.0,0.0,0.2168276199595465,0.19482761995954648,0.0,0.0,0.1403632880355985,0.1203632880355985
7.887999999999353,53.54642290132119,3067.984040268361,0.0,0.0,0.0,0.0,0.12045269558816006,0.1272068419621296,0.0,0.0,0.1500000000000005,0.12600000000000047,0.0,0.0,0.21031657679692786,0.18831657679692784,0.0,0.0,0.2171726777433524,0.19517267774335237,0.0,0.0,0.14045269558816006,0.12045269558816006
7.889999999999353,53.57116410083785,3069.4016065807564,0.0,0.0,0.0,0.0,0.12047165167248895,0.12716050572636198,0.0,0.0,0.1500000000000007,0.12600000000000067,0.0,0.0,0.21061520181018775,0.18861520181018773,0.0,0.0,0.21745643323630434,0.19545643323630432,0.0,0.0,0.14047165167248896,0.12047165167248895
7.891999999999353,53.595484379434644,3070.795055900935,0.0,0.0,0.0,0.0,0.12038635787298523,0.1269968040588557,0.0,0.0,0.15000000000000052,0.1260000000000005,0.0,0.0,0.21090754812810383,0.1889075481281038,0.0,0.0,0.21766372931857847,0.19566372931857845,0.0,0.0,0.14038635787298523,0.12038635787298523
7.893999999999353,53.619572999983326,3072.1752321926665,0.0,0.0,0.0,0.0,0.12017293015268314,0.12669212882553105,0.0,0.0,0.15000000000000085,0.12600000000000083,0.0,0.0,0.2111509525722842,0.18915095257228418,0.0,0.0,0.2177846329429127,0.19578463294291268,0.0,0.0,0.14017293015268315,0.12017293015268314
7.895999999999352,53.64355340089935,3073.5492079561864,0.0,0.0,0.0,0.0,0.11981468745541012,0.1262297390760846,0.0,0.0,0.14999999999999922,0.1259999999999992,0.0,0.0,0.21131657155993433,0.1893165715599343,0.0,0.0,0.21781305560888817,0.19581305560888815,0.0,0.0,0.13981468745541012,0.11981468745541012
7.897999999999352,53.667506645879165,3074.9216277991727,0.0,0.0,0.0,0.0,0.11929995687452781,0.1255976952526689,0.0,0.0,0.14999999999999994,0.12599999999999992,0.0,0.0,0.21138495837881702,0.189384958378817,0.0,0.0,0.21774556736637338,0.19574556736637336,0.0,0.0,0.1392999568745278,0.11929995687452781
7.899999999999352,53.69149617400349,3076.296126513207,0.0,0.0,0.0,0.0,0.11862062337457048,0.12478750957577031,0.0,0.0,0.14999999999999933,0.1259999999999993,0.0,0.0,0.21134298761031434,0.18934298761031432,0.0,0.0,0.21758056243977164,0.19558056243977162,0.0,0.0,0.13862062337457048,0.11862062337457048
7.901999999999352,53.71556776198549,3077.6753269107535,0.0,0.0,0.0,0.0,0.11777222492777094,0.1237942833342064,0.0,0.0,0.15000000000000077,0.12600000000000075,0.0,0.0,0.21118392744003606,0.18918392744003604,0.0,0.0,0.21731791073462003,0.19531791073462001,0.0,0.0,0.13777222492777094,0.11777222492777094
7.9039999999993515,53.73851881444283,3078.9903253519424,0.0,0.0,0.0,0.0,0.11675206205924381,0.12261493455577901,0.0,0.0,0.14999999999999925,0.12599999999999922,0.0,0.0,0.21090319663514415,0.18890319663514413,0.0,0.0,0.2169582549778635,0.19495825497786348,0.0,0.0,0.1367520620592438,0.11675206205924381
7.905999999999351,53.760810091197904,3080.267521429966,0.0,0.0,0.0,0.0,0.11559541708983166,0.12128105438323124,0.0,0.0,0.14999999999999974,0.12599999999999972,0.0,0.0,0.21062840964128857,0.18862840964128855,0.0,0.0,0.21647905020258673,0.1944790502025867,0.0,0.0,0.13559541708983167,0.11559541708983166
7.907999999999351,53.782750705183396,3081.524626011261,0.0,0.0,0.0,0.0,0.11428137177627201,0.11977273314719128,0.0,0.0,0.14999999999999933,0.1259999999999993,0.0,0.0,0.21030299817170048,0.18830299817170046,0.0,0.0,0.21588064652344746,0.19388064652344744,0.0,0.0,0.134281371776272,0.11428137177627201
7.909999999999351,53.80454265053944,3082.7732125075418,0.0,0.0,0.0,0.0,0.11279692202797095,0.11807763081378955,0.0,0.0,0.15000000000000005,0.12600000000000003,0.0,0.0,0.2098885491136777,0.1878885491136777,0.0,0.0,0.21516520482671717,0.19316520482671715,0.0,0.0,0.13279692202797094,0.11279692202797095
7.911999999999351,53.82631609091828,3084.020738746729,0.0,0.0,0.0,0.0,0.11113459895279221,0.11618867862337975,0.0,0.0,0.14999999999999955,0.12599999999999953,0.0,0.0,0.20935981526129943,0.1873598152612994,0.0,0.0,0.2143359971000258,0.19233599710002577,0.0,0.0,0.1311345989527922,0.11113459895279221
7.91399999999935,53.84815395463055,3085.2719561710237,0.0,0.0,0.0,0.0,0.10929079573880054,0.11410251169313193,0.0,0.0,0.14999999999999952,0.1259999999999995,0.0,0.0,0.2087005185527042,0.18670051855270417,0.0,0.0,0.2133969787689664,0.19139697876896639,0.0,0.0,0.12929079573880053,0.10929079573880054
7.91599999999935,53.87010825361998,3086.529844845287,0.0,0.0,0.0,0.0,0.10726465857246367,0.11181844732798525,0.0,0.0,0.14999999999999925,0.12599999999999922,0.0,0.0,0.20790034896977957,0.18590034896977956,0.0,0.0,0.2123525184196824,0.19035251841968237,0.0,0.0,0.12726465857246366,0.10726465857246367
7.91799999999935,53.8922147779634,3087.796455389868,0.0,0.0,0.0,0.0,0.10505736738440988,0.10933782868580916,0.0,0.0,0.1499999999999994,0.1259999999999994,0.0,0.0,0.20695296704097024,0.18495296704097022,0.0,0.0,0.21120721640621945,0.18920721640621943,0.0,0.0,0.12505736738440987,0.10505736738440988
7.91999999999935,53.91449640726188,3089.0730987093457,0.0,0.0,0.0,0.0,0.10267196029907448,0.1066638687781476,0.0,0.0,0.14999999999999994,0.12599999999999992,0.0,0.0,0.20585605153025946,0.18385605153025944,0.0,0.0,0.2099652169712677,0.18796521697126767,0.0,0.0,0.12267196029907447,0.10267196029907448
7.92199999999935,53.936967382676194,3090.360590762128,0.0,0.0,0.0,0.0,0.10011262218176996,0.10380101891704713,0.0,0.0,0.1499999999999999,0.1259999999999999,0.0,0.0,0.20460841552019243,0.1826084155201924,0.0,0.0,0.208630935412463,0.18663093541246298,0.0,0.0,0.12011262218176995,0.10011262218176996
7.923999999999349,53.95839640536123,3091.5883833210705,0.0,0.0,0.0,0.0,0.09738451037376344,0.1007548061536394,0.0,0.0,0.14999999999999933,0.1259999999999993,0.0,0.0,0.20320966903682353,0.1812096690368235,0.0,0.0,0.2072089870447618,0.18520898704476177,0.0,0.0,0.11738451037376343,0.09738451037376344
7.925999999999349,53.979225729603506,3092.7818156902626,0.0,0.0,0.0,0.0,0.09445785461018748,0.09748977622974977,0.0,0.0,0.1500000000000004,0.1260000000000004,0.0,0.0,0.2017491195335805,0.17974911953358047,0.0,0.0,0.20559675376007316,0.18359675376007314,0.0,0.0,0.11445785461018747,0.09445785461018748
7.927999999999349,53.99974590860537,3093.9575353419227,0.0,0.0,0.0,0.0,0.09134410069700495,0.09401971454604385,0.0,0.0,0.15000000000000135,0.12600000000000133,0.0,0.0,0.20019254951693766,0.17819254951693764,0.0,0.0,0.20382571843388544,0.18182571843388542,0.0,0.0,0.11134410069700494,0.09134410069700495
