time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,com_x_m,com_z_m,potential_energy_J,kinetic_energy_J,total_energy_J,energy_change_J,ground_contact_count,normal_force_sum_N,normal_force_max_N,tangential_force_sum_N,contact_slip_weighted_m_s,contact_slip_max_m_s,nominal_circle_slip_m_s,joint_error_max_rad,front_hip_error_rad,front_knee_error_rad,rear_hip_error_rad,rear_knee_error_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,saturated_actuator_count,joint_damping_power_W,foot_gap_m,roundness_rms_m,roundness_peak_to_peak_m,airborne
0.04000000000000002,0.0016440946458134045,0.094199684325164,0.07883189158371119,0.00040034770226858623,0.25063792423058096,0.00020802552973099347,0.14741165538441292,0.012193286506358083,0.2202479389632936,6.849204331498816,0.0005825012331152541,6.849786832731931,-0.004196583610185378,4.0,31.280530360193264,7.9335018486907565,1.393797877174355,0.0003237667906174979,0.00032395706332162023,-0.0003291630392222161,7.940742176915094e-06,-1.978626536003336e-06,7.5581593113049905e-06,-2.4814694315478114e-06,7.940742176915094e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3968045801148024e-06,1.3260638192056575e-07,5.277937448200376e-07,0.0
0.04200000000000002,0.0018097579244704526,0.10369149101251254,0.08283163932852408,0.00044123269233427276,0.2506359460091419,0.00023063011777464033,0.14740941971116034,0.012227374587663287,0.2202438127434549,6.849076015552138,0.000642713162454951,6.849718728714594,-0.004264687627522967,4.0,31.247535437748912,7.9253679713112035,1.3960432095193642,0.0003239462481688592,0.0003239812320525614,-0.000329700123101892,7.93965629819482e-06,-1.9788811129739514e-06,7.557299523952565e-06,-2.4814830334451976e-06,7.93965629819482e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.397476243759204e-06,1.3261741615586505e-07,5.27824547819078e-07,0.0
0.044000000000000025,0.0019834365556069197,0.11364254356824152,0.08683931556823364,0.0004841264624020125,0.25063421335347374,0.0002544139377378894,0.1474074710222108,0.012263224222394346,0.22023987562972286,6.848953580370434,0.0007062404645514021,6.849659820834986,-0.004323595507131017,4.0,31.217873845672784,7.918109302776244,1.398618417709288,0.0003242245103341817,0.0003244149610775895,-0.0003303365716364106,7.936957083343188e-06,-1.9786421234235796e-06,7.55491664539143e-06,-2.480897142387306e-06,7.936957083343188e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.397365074160507e-06,1.3259066219588885e-07,5.277045256046886e-07,0.0
0.04600000000000003,0.002165148244454896,0.12405385642742499,0.09085584442398818,0.0005290332552388343,0.25063269287388706,0.00027937913048335303,0.14740577236987368,0.012300838659243363,0.22023609019625232,6.8488358620959975,0.0007730911467667383,6.849608953242765,-0.004374463099352077,4.0,31.19134696128458,7.91167773350579,1.4015164753246465,0.00032460089328285733,0.00032489141939588884,-0.0003310709422684778,7.933239175139661e-06,-1.9780770537658476e-06,7.551575465392091e-06,-2.4799161982280715e-06,7.933239175139661e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.396724734213263e-06,1.3253906985442133e-07,5.274852126757601e-07,0.0
0.04800000000000003,0.002354912480670072,0.1349265462650782,0.09488211810758809,0.0005759577664472799,0.2506313548513892,0.00030552811245541933,0.14740429079952733,0.012340221554275893,0.22023242297268772,6.848721819877753,0.0008432808236066906,6.849565100701359,-0.004418315640757342,4.0,31.16771705123836,7.906015354489127,1.4047283615291102,0.00032507307194006203,0.00032542310934651625,-0.0003319004590417885,7.92893564427466e-06,-1.9773097739705925e-06,7.54768735133915e-06,-2.478690852458776e-06,7.92893564427466e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3957434057035265e-06,1.324721490647868e-07,5.272044445170376e-07,0.0
0.05000000000000003,0.002552750474485788,0.14626182833805398,0.09891899690785783,0.0006249051299032581,0.25063017291485984,0.0003328635689303414,0.1474029970489633,0.012381376959547764,0.22022884414418498,6.848610526542623,0.0009168315862619291,6.849527358128885,-0.004456058213231806,4.0,31.146729030130338,7.9010599685119125,1.408244088269757,0.00032563774772422286,0.00032601804625737404,-0.0003328216115691448,7.924356727695425e-06,-1.976430666184026e-06,7.5435470305862395e-06,-2.477330555750168e-06,7.924356727695425e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.394558984216023e-06,1.3239678628793173e-07,5.268896083598928e-07,0.0
0.05200000000000003,0.0027586850951063576,0.1580610129552404,0.10296731031028489,0.0006758809029372042,0.2506291237149509,0.000361388446064357,0.1474018652258743,0.012424309310501322,0.22022532722953922,6.848501158586044,0.0009937710472386772,6.849494929633282,-0.004488486708834394,4.0,31.128125181292525,7.896748818886336,1.4120534002648046,0.00032629111181611673,0.000326680995356385,-0.0003338305635919251,7.919719944293746e-06,-1.9755045680969197e-06,7.5393611846941155e-06,-2.475913409627495e-06,7.919719944293746e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.393270989041975e-06,1.323178804673911e-07,5.265601786819119e-07,0.0
0.054000000000000034,0.002972740812759709,0.17032550215742143,0.10702785882667577,0.0007288910518854665,0.2506281866069094,0.00039110594245507415,0.14740087248208145,0.012469023413024596,0.2202218487559911,6.848392986059186,0.0010741315561123752,6.849467117615299,-0.004516298726818135,4.0,31.11165481467743,7.893021035906336,1.4161462395317734,0.0003270291614611426,0.0003274144015822599,-0.0003349234261135082,7.915173395156572e-06,-1.974576973040598e-06,7.535270572178732e-06,-2.474493839554892e-06,7.915173395156572e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3919498520361886e-06,1.3223883590499015e-07,5.262296799146693e-07,0.0
0.056000000000000036,0.0031949436452262895,0.183056786653609,0.11110141623329008,0.0007839419384085586,0.2506273433499545,0.0004220195006965009,0.1473999986966995,0.01251552443075943,0.22021838794290052,6.848285362731939,0.0011579495700134715,6.849443312301953,-0.004540104040163584,4.0,31.09708031010068,7.889819167953107,1.420513041559972,0.0003278479109511705,0.0003282190848434207,-0.00033609643463046804,7.910813700551245e-06,-1.9736788459678856e-06,7.531367060886751e-06,-2.4731085419560372e-06,7.910813700551245e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3906441298734535e-06,1.3216194250291217e-07,5.259072020369349e-07,0.0
0.05800000000000004,0.0034253211092380846,0.19625644303641188,0.11518873200589753,0.0008410403068099005,0.2506265778276135,0.00045413279924005895,0.14739922617587134,0.012563817873032188,0.22021492640191118,6.848177716768714,0.00124526515755638,6.849422981926271,-0.004560434415846082,4.0,31.084180606242473,7.8870900657989855,1.425144912173244,0.000328743527520016,0.00032909475651698614,-0.00033734605891431665,7.906699734938627e-06,-1.972830345586818e-06,7.527706668453149e-06,-2.4717810705454646e-06,7.906699734938627e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3893860742491785e-06,1.3208866748369774e-07,5.255985611463121e-07,0.0
