phase_rad,phase_deg,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,contact_x_m,contact_z_m,com_x_m,com_z_m,com_offset_x_m,com_offset_z_m,com_offset_radius_m,potential_energy_J,potential_from_min_J,gravity_torque_Nm,inertia_about_contact_kg_m2
4.34586983746588,248.99999999999997,0.5448505152671705,0.11055378375552016,0.6412227567924093,0.147547621252806,0.6412227567924093,0.0,0.5689513648776128,0.13252719181313669,-0.07227139191479648,-0.015020429439669303,0.07381576653977248,4.121290852847381,1.828399754537875,-2.247474064348767,0.10934322691926106
4.363323129985824,250.00000000000003,0.5467947535330139,0.11224134562452526,0.6437979485867563,0.147547621252806,0.6437979485867563,0.0,0.5712754213155592,0.1337907892027787,-0.07252252727119712,-0.013756832050027284,0.07381576653977244,4.160585825391252,1.867694727081746,-2.2552837963215073,0.11052526152192005
4.380776422505767,251.0,0.5487685399117617,0.11393966212710621,0.6463731403811034,0.147547621252806,0.6463731403811034,0.0,0.573621568817854,0.13505857705672852,-0.0727515715632494,-0.012489044196077465,0.07381576653977236,4.200011111737028,1.9071200134275212,-2.2624065470024615,0.11171121610245618
4.39822971502571,252.0,0.5507720575973293,0.11564821593960448,0.6489483321754503,0.147547621252806,0.6489483321754503,0.0,0.5759898771536069,0.13633016919452456,-0.0729584550218434,-0.011217452058281424,0.07381576653977244,4.239554702560567,1.9466636042510608,-2.2688401467327797,0.11290072940761572
4.4156830075456535,253.0,0.5528054807271883,0.1173664866199776,0.6515235239697972,0.147547621252806,0.6515235239697972,0.0,0.578380409341524,0.13760517827688343,-0.07314311462827316,-0.00994244297592256,0.07381576653977238,4.279204552501039,1.9863134541915324,-2.274582635775651,0.11409343910012283
4.4331363000655974,254.00000000000003,0.5548689743293224,0.1190939507663312,0.6540987157641445,0.147547621252806,0.6540987157641445,0.0,0.5807932216307103,0.13888321592368746,-0.07330549413343412,-0.008664405329118524,0.07381576653977254,4.318948583830057,2.0260574855205506,-2.2796322649132947,0.11528898186905125
4.4505895925855405,255.00000000000003,0.5569626942719574,0.12083008217635179,0.6566739075584914,0.147547621252806,0.6566739075584914,0.0,0.5832283634835359,0.14016389283228867,-0.07344554407495552,-0.0073837284205173215,0.07381576653977244,4.358774690130664,2.0658835918211578,-2.2839874959797446,0.11648699354049181
4.468042885105484,256.0,0.5590867872160838,0.12257435200759367,0.6592490993528385,0.147547621252806,0.6592490993528385,0.0,0.5856858775605697,0.14144681889609453,-0.07356322179226882,-0.006100802356711454,0.07381576653977245,4.3986707399850795,2.105779641675573,-2.2876470023294386,0.1176871091884841
4.485496177625427,257.0,0.5612413905707812,0.12432622893856915,0.6618242911471854,0.147547621252806,0.6618242911471854,0.0,0.5881657997075842,0.14273160332339804,-0.07365849143960124,-0.004816017929407945,0.07381576653977243,4.438624580670036,2.14573348236053,-2.290609669241288,0.11888896324617602
4.50294947014537,258.0,0.5634266324513625,0.1260851793305942,0.6643994829415324,0.147547621252806,0.6643994829415324,0.0,0.5906681589446371,0.14401785475641668,-0.0737313239968953,-0.0035297664963893083,0.0738157665397724,4.47862404185862,2.1857329435491133,-2.292874594258252,0.12009218961717898
4.520402762665314,259.0,0.5656426316403492,0.1278506673903402,0.6669746747358796,0.147547621252806,0.6669746747358796,0.0,0.593192977457231,0.1453051813905038,-0.07378169727864858,-0.002242439862302187,0.0738157665397724,4.518656939327471,2.2257658410179646,-2.2944410874622307,0.12129642178708448
4.537856055185257,260.0,0.5678894975512883,0.1296221553330413,0.6695498665302266,0.147547621252806,0.6695498665302266,0.0,0.5957402705895551,0.14659319109349592,-0.07380959594067149,-0.0009544301593100712,0.07381576653977245,4.558711078668209,2.2658199803587022,-2.29530867168422,0.12250129293510778
4.5553093477052,261.0,0.5701673301954244,0.13139910354630946,0.6721250583245736,0.14754762125280602,0.6721250583245736,0.0,0.5983100468398124,0.1478814915251603,-0.07381501148476122,0.0003338702723542919,0.07381576653977247,4.598774259001979,2.3058831606924723,-2.2954770826496596,0.12370643604582539
4.572762640225143,262.0,0.5724762201512353,0.1331809707545052,0.6747002501189205,0.147547621252806,0.6747002501189205,0.0,0.60090230785763,0.14916969025670548,-0.07379794226129055,0.0016220690038994956,0.07381576653977243,4.638834276695951,2.3459431783864444,-2.2949462690589355,0.12491148402097138
4.590215932745087,263.0,0.5748162485368411,0.13496721418361568,0.6772754419132678,0.147547621252806,0.6772754419132678,0.0,0.6035170484435572,0.15045739489031879,-0.07375839346971058,0.002909773637512797,0.07381576653977258,4.678878929080668,2.3859878307711613,-2.2937163926030193,0.12611606979125894
4.60766922526503,264.0,0.5771874869852935,0.1367572897265885,0.6798506337076147,0.147547621252806,0.6798506337076147,0.0,0.6061542565506489,0.15174421317869444,-0.07369637715696575,0.004196591925888449,0.07381576653977234,4.718896018167087,2.426004919857581,-2.2917878279141743,0.12731982642819317
4.625122517784973,265.0,0.5795899976227578,0.13855065210907247,0.6824258255019616,0.147547621252806,0.6824258255019616,0.0,0.6088139132881353,0.15302975314451617,-0.07361191221382635,0.005482131891710179,0.0738157665397724,4.758873354362222,2.4659822560527154,-2.289161162451908,0.1285223872558417
4.642575810304916,266.0,0.5820238330495873,0.14034675505551325,0.6850010172963087,0.147547621252806,0.6850010172963087,0.0,0.6114959929271767,0.1543136231998571,-0.07350502436913198,0.006766001947051098,0.07381576653977241,4.798798760182197,2.5059076618726905,-2.285837196323956,0.12972338596252678
4.6600291028248595,267.0,0.5844890363243005,0.14214505145555406,0.6875762090906556,0.147547621252806,0.6875762090906556,0.0,0.6142004629087,0.1555954322654612,-0.07337574618195564,0.008047811012655198,0.07381576653977247,4.838660073961633,2.545768975652127,-2.281816942042602,0.13092245671240804
4.6774823953448035,268.0,0.5869856409504666,0.1439449935306911,0.6901514008850029,0.147547621252806,0.6901514008850029,0.0,0.6169272838533174,0.15687478988987,-0.07322411703168552,0.00932716863706401,0.07381576653977258,4.878445153558212,2.5855540552487053,-2.277101624216247,0.1321192342569195
4.694935687864747,269.0,0.5895136708664975,0.14574603300113162,0.6927265926793498,0.147547621252806,0.6927265926793498,0.0,0.6196764095733205,0.15815130636835759,-0.07305018310602929,0.010603685115551598,0.07381576653977236,4.918141880051275,2.6252507817417685,-2.2716926791763674,0.13331335404602748
4.71238898038469,270.0,0.5920731404383587,0.14754762125280596,0.6953017844736967,0.147547621252806,0.6953017844736967,0.0,0.6224477870867505,0.15942459286163876,-0.0728539973869462,0.011876971608832776,0.07381576653977241,4.957738161433385,2.6648470631238785,-2.2655917545400373,0.13450445233927666
4.729842272904633,271.0,0.5946640544551915,0.14934920950448033,0.6978769762680438,0.147547621252806,0.6978769762680438,0.0,0.6252413566335373,0.16069426151431312,-0.07263561963450649,0.013146640261507136,0.07381576653977241,4.9972219362936565,2.70433083798415,-2.258800708707993,0.13569216631658845
4.747295565424577,272.0,0.5972864081278546,0.15115024897492094,0.700452168062391,0.14754762125280596,0.700452168062391,0.0,0.6280570516937017,0.16195992557300948,-0.07239511636868923,0.014412304320203517,0.07381576653977259,5.036581177491778,2.7436900791822714,-2.2513216102985876,0.1368761341887798
4.76474885794452,273.0,0.5999401870903828,0.1529501910500579,0.7030273598567379,0.14754762125280602,0.7030273598567379,0.0,0.6308947990076195,0.16322119950419473,-0.07213256084911845,0.01567357825138871,0.0738157665397724,5.075803895821597,2.7829127975120906,-2.2431567375176313,0.13805599530776727
4.782202150464463,274.0,0.6026253674043635,0.1547484874500987,0.7056025516510849,0.147547621252806,0.7056025516510849,0.0,0.6337545185983354,0.16447769911161128,-0.07184803305274945,0.016930077858805292,0.07381576653977243,5.114878143663155,2.821987045353649,-2.234308577464487,0.13923139027642456
4.799655442984406,275.0,0.6053419155662281,0.15654459039653945,0.7081777434454319,0.147547621252806,0.7081777434454319,0.0,0.6366361237959269,0.16572904165330665,-0.071541619649505,0.018181420400500664,0.0738157665397724,5.153792018622036,2.8609009203125293,-2.224779825374412,0.14040196105805805
4.817108735504349,276.0,0.6080897885174578,0.15833795277902343,0.7107529352397789,0.14754762125280596,0.7107529352397789,0.0,0.6395395212639028,0.16697484595822065,-0.0712134139758761,0.019427224705414692,0.07381576653977238,5.19253366715496,2.8996425688454535,-2.2145733837976027,0.1415673510854678
4.834562028024293,277.0,0.6108689336576993,0.16012802832199635,0.713328127034126,0.147547621252806,0.713328127034126,0.0,0.6424646110276356,0.1682147325422937,-0.07086351600649032,0.0206671112894877,0.07381576653977238,5.231091288180488,2.9382001898709813,-2.2036923617150346,0.1427272053695624
4.852015320544236,278.0,0.6136792888607878,0.16191427175110676,0.715903318828473,0.147547621252806,0.715903318828473,0.0,0.6454112865048143,0.16944832372406113,-0.07049203232365875,0.02190070247125514,0.07381576653977245,5.269453136673737,2.9765620383642304,-2.1921400735914434,0.14388117060749098
