time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne
2.3699999999999606,11.99358189241762,687.1816236800565,0.7896095660120976,1.7970777655439272,0.45462987448838565,1.8719261769533517,0.541004436530983,1.883261090464805,0.3799394563276076,1.8999998833453235,0.242670103194856,1.954702507755494,0.5844574213970253,-0.16495236790370527,1.8683668865729137,-0.3715426215225719,12.967431664532521,6.022225095005645,0.06311083638152289,0.08206078140656049,1.0,0.0
2.3719999999999604,11.99505807207507,687.2662025442315,0.7380898287247234,1.7994270328293278,0.4549446912478613,1.8689493372951933,0.545944913919453,1.8773938676005821,0.3818005868312773,1.8983977376336898,0.2550719205554645,1.950455829894451,0.5666646242684239,-0.1650480077043781,1.7951313204043697,-0.3693958602290195,12.575331885446158,6.047375758776537,0.06091548220266758,0.08167483276352121,1.0,0.0
2.37399999999996,11.996380150541336,687.3419520605337,0.6610392331331628,1.8017854105703313,0.4552287787330299,1.8658642898799447,0.5508089120179398,1.8714336246239442,0.3837036837258512,1.8966778418752486,0.2681784661418614,1.9459665101432737,0.5481688686505546,-0.16511990637408047,1.7171881785639016,-0.3655542666007534,12.737351315092729,6.0728504614067225,0.058696910207546985,0.08125051668317722,0.0,1.0
2.37599999999996,11.997625039671133,687.4132789536328,0.6224445648985124,1.8041511899263236,0.4554825606771235,1.8626742461206258,0.5555957359968933,1.865384514434112,0.385634109833762,1.894806759644846,0.28108985468765996,1.9412707576154495,0.5274790800553388,-0.1680463817021014,1.5635181399106273,-0.35688798197389104,11.597867916248065,6.096046197239219,0.05634266768310514,0.08078218869239216,1.0,0.0
2.3779999999999597,11.998797337565737,687.4804466753257,0.5861489473017145,1.8065241504602956,0.455706486425355,1.859382338068305,0.5603049272894356,1.859250484412517,0.3875957266345525,1.892790145284284,0.29389807099434767,1.9363623509145567,0.5076811551248461,-0.16713599272514656,1.5010118714379024,-0.3506274792469206,11.139615861684778,6.118325428962589,0.053997905876678146,0.08027796695959911,1.0,0.0
2.3799999999999595,11.999899478319216,687.5435946889294,0.551070376739492,1.8089040831349794,0.45590101915800374,1.855991708736344,0.5649361001781985,1.8530354607914017,0.3895897251689647,1.8906328845964708,0.3066608745598515,1.9312404412428816,0.4868912451554612,-0.16632292942319538,1.4295586611697342,-0.3424282311422573,10.664362596600412,6.13965415415579,0.051646574038157166,0.07973837749153055,1.0,0.0
2.3819999999999593,12.000875349303136,687.5995079776573,0.48793549196031666,1.811291175128068,0.456066634724947,1.8525055107933859,0.5694889360487293,1.8467433497951364,0.3916252900395729,1.8883628553285714,0.31996097789055855,1.9258943180343888,0.4653692421186033,-0.16554766924953057,1.352000258338391,-0.3327799473099482,10.541956537112537,6.160738067230015,0.04927858210848879,0.07916433839985322,0.0,1.0
2.383999999999959,12.001736335627369,687.6488388602543,0.4304931621159592,1.8136846052295448,0.456203817112781,1.8489270098843498,0.5739630507363174,1.8403782230498014,0.3937067582590885,1.885980198429613,0.3337304908896536,1.9203259148921936,0.44222878367125595,-0.16735552765226913,1.2100103953868873,-0.32054862899659753,9.882716911378575,6.180503501052772,0.046798123678453554,0.07855168629243164,0.0,1.0
2.385999999999959,12.002578933609238,687.6971161684417,0.42129899093449147,1.816083435398996,0.4563130647878023,1.8452594722145141,0.5783581474239499,1.8339441118291382,0.39582298741638944,1.883451143861661,0.34712642388706105,1.9145515715502408,0.417916243335581,-0.16894157225515016,1.0693252654334557,-0.30697771641104055,8.704436667776365,6.197912374388324,0.04421524392237287,0.07790183735940341,1.0,0.0
2.3879999999999586,12.003403425096291,687.7443560508942,0.4122457435271031,1.8184873750277897,0.45639489233262037,1.8415059869914772,0.5826742072470752,1.8274447059718915,0.3979771969863492,1.8807838810040414,0.3602878759480505,1.9085717764130707,0.3940961334322166,-0.16654611190665136,1.015884533859401,-0.29363432158820757,8.209788300361966,6.214331950989048,0.04166798551167091,0.0772243398335171,1.0,0.0
2.3899999999999584,12.004208259868731,687.7904696865604,0.4024173862203751,1.8208961438786222,0.4564498210109629,1.8376696280005809,0.5869112675999111,1.8208836505201214,0.40016935349680527,1.8779852310203515,0.3733034198211317,1.9023925697631971,0.3693052832501591,-0.164416244272644,0.9500887104196583,-0.2789017452124902,7.679515656419575,6.229690982301888,0.03913450821500549,0.07652002968303011,1.0,0.0
2.391999999999958,12.005957091081527,687.8906703341344,0.8744156063975421,1.8232782022726535,0.45647837795710594,1.8337534545062932,0.591069416296657,1.8142645495352552,0.4028589914404022,1.8749409160772341,0.38501885745200376,1.8975203687038598,0.3438745935574019,-0.16245276677160447,0.8761055774471362,-0.26335953729206096,6.483278203663304,6.2426575387092145,0.03660232280531994,0.07579031952290961,3.0,0.0
