time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,com_x_m,com_z_m,potential_energy_J,kinetic_energy_J,total_energy_J,energy_change_J,ground_contact_count,normal_force_sum_N,normal_force_max_N,tangential_force_sum_N,contact_slip_weighted_m_s,contact_slip_max_m_s,nominal_circle_slip_m_s,joint_error_max_rad,front_hip_error_rad,front_knee_error_rad,rear_hip_error_rad,rear_knee_error_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,saturated_actuator_count,joint_damping_power_W,foot_gap_m,roundness_rms_m,roundness_peak_to_peak_m,airborne
0.9080000000000007,1.4003755007975192,80.2356059292169,7.111083806798675,0.325647964768248,0.1413222770184395,0.22223861336345874,0.12332869478589051,0.2950525641297354,0.12767722155259734,3.970467932676207,2.169371560847123,6.13983949352333,-0.7141439228187867,2.0,49.807447580766215,24.903723790384536,11.017675187430637,0.009096288550341267,0.009096288550341267,-0.20601796583295562,0.21351114365388463,-0.21351114365388463,-0.012841976454867732,-0.06760507216306175,-0.00252097784271732,1.9728108614166744,0.16986547637824678,0.6263978883961987,0.04429151806718501,1.6798703236710588,0.0,-0.01555870867451625,0.06376156471800239,0.005013664525888592,0.021025356650019256,0.0
0.9100000000000007,1.4147249694568709,81.05776992165299,7.174734329675811,0.32758793508516915,0.14036751737924338,0.22391474420760898,0.12381499899657356,0.2967846580752282,0.127106149548747,3.95270890682207,2.1910887564717374,6.143797663293808,-0.7101857530483091,2.0,38.854469590877116,19.42723479544049,6.487000732255728,0.008514426760382832,0.008514426760382832,-0.20375351741090564,0.21190749816590468,-0.21190749816590468,-0.013328990457591061,-0.06714482198355978,-0.002746683023260088,1.9754730098408237,0.18015766743113204,0.6268058669408014,0.04825588306447948,1.678907491046776,0.0,-0.015358172731112138,0.06323251426727973,0.00497714593563538,0.0208779687596804,0.0
0.9120000000000007,1.4292308320299336,81.88889462528627,7.252931286531414,0.32952846492588783,0.13940848088380864,0.22561397663265992,0.12432180932691844,0.2985249770569734,0.12654488870415678,3.9352549854552574,2.2134898978070634,6.148744883262321,-0.7052385330797959,2.0,31.433442869732698,15.71672143486874,3.4419907888762613,0.008232869653976634,0.008232869653976634,-0.2055257056486448,0.2101724735254572,-0.2101724735254572,-0.01373655603035906,-0.06669878408567764,-0.002954651219295279,1.9587104332712593,0.18199130048906298,0.6254232022956079,0.050037343927710864,1.7963968754460933,0.0,-0.017093103879874436,0.06271082178312164,0.004940314374430989,0.020729612724045027,0.0
0.9140000000000007,1.4439090029729331,82.7298918712917,7.3390854714997955,0.3314669269806582,0.13843953687254132,0.22733248629472272,0.1248436293228427,0.30026966680294703,0.12598407509744142,3.917814972157705,2.2364004630876417,6.154215435245346,-0.6997679810967705,2.0,26.455734218477055,13.227867109240538,1.4643565309806228,0.008116905065133474,0.008116905065133476,-0.20950615167561182,0.20823018194542303,-0.20823018194542303,-0.0140379894689735,-0.06625145669764299,-0.0031377156863183764,1.9282222716200303,0.17812211322122273,0.6223840514787704,0.05034332743729486,1.980335639608653,0.0,-0.020484865454794565,0.06216909172988194,0.004899921323069993,0.02056649936902019,0.0
0.9160000000000007,1.4587665735414046,83.58116795868291,7.428785284235791,0.33340164576214604,0.13745683373057963,0.2290681794428996,0.12537625045323242,0.3020162253135493,0.1254174277849853,3.900193544029138,2.2598523982951035,6.160045942324242,-0.6939374740178748,2.0,23.132095537289423,11.56604776864633,0.22918642646929147,0.00809396701467159,0.00809396701467159,-0.21447213272124788,0.20603767315127536,-0.20603767315127536,-0.014221748093594444,-0.06578934542877565,-0.003292662273006508,1.8880726618610224,0.17052323419201088,0.6177818285831704,0.0496835992063307,2.1930332203587057,0.0,-0.02539208657039002,0.06158932090819258,0.004854018328928278,0.020380311750906877,0.0
0.9180000000000007,1.4738048985295027,84.44280051144705,7.519162494049074,0.3353315807716516,0.1364576961477525,0.230820118586137,0.12591632977224884,0.3037630913437721,0.124840752865404,3.8822602803824746,2.2839130650712756,6.16617334545375,-0.687810070888367,2.0,20.903042362285376,10.451521181144825,0.5049396173666199,0.008124108127871135,0.008124108127871135,-0.21963311616103953,0.20357404803076345,-0.20357404803076345,-0.014286265187940073,-0.06530059066634702,-0.0034189059418752166,1.8411258525081928,0.1605933390388703,0.6116823278112293,0.048421277039709665,2.4091663279017297,0.0,-0.03164214935803137,0.06095999667785284,0.004801543904540782,0.020166468708131657,0.0
0.9200000000000007,1.4890217092190872,85.3146595416098,7.608405344792257,0.33725610083532703,0.1354402101155176,0.23258810953801445,0.1264610933129239,0.305509338520089,0.1242512374623613,3.863927707233274,2.3086312798677193,6.172558987100993,-0.6814244292411233,2.0,19.38197468697635,9.690987343488466,0.9108228188986587,0.008185853582841922,0.00818585358284192,-0.22449674470374925,0.20083286689574484,-0.20083286689574484,-0.01423634105850402,-0.0647746764652404,-0.0035175708762551494,1.7893779686666489,0.1493143569547808,0.6041304308308137,0.046813421946442446,2.612782725050176,0.0,-0.03901443474941816,0.06027402294826128,0.004742029670724913,0.019922890155218004,0.0
0.9220000000000007,1.504412522534912,86.19648818788032,7.695406657912424,0.3391748278189986,0.1344029442422048,0.23437241402325898,0.1270081322381008,0.30725445635442983,0.12364696187457637,3.8451361262870143,2.3340284939636695,6.179164620250684,-0.6748187960914329,2.0,18.307904804176246,9.153952402088443,1.1087391149207364,0.008268546892650774,0.008268546892650774,-0.22877112283563705,0.19781696128863913,-0.19781696128863913,-0.014080664865673276,-0.06420220981418667,-0.0035908620657485457,1.734210555865795,0.13737099328225177,0.5951553449519502,0.04504219784136865,2.794503061750671,0.0,-0.04726505686506038,0.059527266727722725,0.004675395381282772,0.019649136047345195,0.0
0.9240000000000007,1.519971562861038,87.08795553184117,7.7795201630629895,0.34108753073079806,0.13334476661678363,0.2361735547498354,0.12755526613161863,0.30899819780774246,0.1230265702446958,3.8258433734984774,2.3601042288108824,6.18594760230936,-0.6680358140327565,2.0,17.508203127802314,8.754101563902637,1.18069120320837,0.008367743832359872,0.008367743832359872,-0.23229647714039958,0.19453495151420008,-0.19453495151420008,-0.013830138202928888,-0.06357475908750038,-0.00364164096305597,1.6765790525860258,0.12523902501447637,0.5847754334467004,0.04323773524764718,2.9493233796678853,0.0,-0.0561531233954502,0.05871756051401933,0.00460180866739635,0.019345817281818722,0.0
0.9260000000000007,1.5356125330983084,87.9841171139265,7.820485118635202,0.3429938776979454,0.13225153110764443,0.237992185875433,0.12810045364672948,0.3107404753587937,0.12238905273389211,3.8060180452027574,2.386520226775561,6.192538271978318,-0.6614451443637988,0.0,0.0,0.0,0.0,0.0,0.0,-0.2291184418152573,0.19056778281527348,-0.19056778281527348,-0.01333972208618106,-0.06276113868985378,-0.0036625830058869546,1.617148538108305,0.11324871139567527,0.5730025186165832,0.041494295002118875,3.468188808456832,0.0,-0.0832067608696671,0.05784403061303467,0.004521590670899564,0.019014199327110903,1.0
